MFLCode,Latitude,Longitude,Method_Geocode,Source_Geocode,Date_Geocode,Province,District,Facility,Owner,Type,Division,Location,Sublocation,Nearest Town,Plot No,Constituency,Status,Off_Landline,Off_Mob,Off_Fax,Off_Email,Off_POBox,Off_Town,Off_PostCode,In Charge Name,ANC,ART,BEOC,Blood Tr,C Section,CEOC,FP,Growth,HCT,Inp,HBC,IMM,IMCI,Outp,PMTCT,Radiology,RHTC_RHDC,TB_Diag,TB_Labs,TB_Treat,Youth,Beds,Cots,CHWTrain,CHW
10019,-0.98739,36.9536,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Gatundu,Aid Intergrated Programme Mangu Dispensary,Other Faith Based,Medical Clinic - Clinical officer,Kamwangi,Mangu,Mangu,Gatundutown,,GATUNDU NORTH,Operational,,0729-319673,,,,,,B.Njeri,,y,,,,,,y,y,,y,,,Y,,,,,,y,,,,,
10039,-0.999385,36.9579,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,ASPE Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Kamwangi,Mangu,Gatukuyu,Gatundutown,,GATUNDU NORTH,Operational,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,
10067,-1.00683,36.8929,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,Bethsaida Medical Clinic (Gatundu),Private Medical Enterprise,Medical Clinic - Clinical officer,Gatundu  South,Ngenda,Gatundu,Gatundutown,,GATUNDU SOUTH,Operational,,0735-230248,,,,,,Mr Wainaina,,,,,,,,,,,,,,Y,,,,,,,,,,,
10090,,,No Geo Code,,12/31/99,Central,Gatundu,Charity Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Kamwangi,Mangu,Gatukuyu,Gatundutown,,GATUNDU NORTH,Operational,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,6,2,,
10194,-0.90321,36.80232,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Gatundu,Gachege Dispensary,Ministry of Health,Dispensary,Kamwangi,Mangu,Gachege,Gatundutown,,GATUNDU NORTH,Operational,,0734-905216,,,,,,Mrs Mariagorret,Y,Y,Y,,,,Y,Y,Y,,,Y,Y,Y,Y,,,Y,,Y,,,,,
10195,-0.97252,36.77253,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Gatundu,Gachika Dispensary,Ministry of Health,Dispensary,Gatundu South,Kiganjo,Gachika,Gatundutown,,GATUNDU SOUTH,Operational,,0733-999650,,,,,,Mrs Gladys Chege,y,,,,,,y,y,y,,,y,,Y,y,,,,,y,,,,,
10202,-0.87536,36.7836,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Gatundu,Gakoe Dispensary,Ministry of Health,Dispensary,Kamwangi,Mangu,Gakoe,Gatundutown,,GATUNDU NORTH,Operational,061-30318,0734-687120,,,,,10100,M/S N. Njogu,Y,,Y,,,,Y,Y,y,,,Y,Y,Y,Y,,,,,Y,,,,,
10231,-0.989327,36.967,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,Gatukuyu Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Kamwangi,Mangu,Gatukuyu,Gatundutown,,GATUNDU NORTH,Operational,,,,,,,10100,,Y,,Y,,,,Y,Y,,,,Y,,Y,Y,,,,,,,,,,
10233,-1.0157,36.9058,Taken with GPS Device,KEMRI GIS MERGE,7/14/09,Central,Gatundu,Gatundu District Hospital,Ministry of Health,Primary Hospital,Gatundu South,Ngenda,Githuguchu,Gatundutown,,GATUNDU SOUTH,Operational,061-74024,0721-379241,,,,,10100,Dr Toto,Y,,Y,,y,y,Y,Y,y,y,y,Y,,Y,Y,y,,y,Y,y,y,107,11,,
10257,-0.94231,36.89232,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Gatundu,Gitare Dispensary (Gatundu),Ministry of Health,Dispensary,Gatundu South,Kiamwangi,Kiamworia,Gatundutown,,GATUNDU SOUTH,Operational,,0720-721264,,,,,,Mr Ayub,y,y,,,,,y,y,y,,y,y,,Y,,,,,,Y,,,,,
